point_id,area_code,area_name,description,x_coordinate,y_coordinate,installed_sensors
RMS001,RMS,原料储存区,原料储存区的监测点1,56.62,22.58,"temperature,pressure,flow_rate,level,gas_concentration"
RMS002,RMS,原料储存区,原料储存区的监测点2,27.58,55.1,"temperature,pressure,flow_rate,level,gas_concentration"
RMS003,RMS,原料储存区,原料储存区的监测点3,62.26,13.03,"temperature,pressure,flow_rate,level,gas_concentration"
RMS004,RMS,原料储存区,原料储存区的监测点4,50.3,85.83,"temperature,pressure,flow_rate,level,gas_concentration"
RMS005,RMS,原料储存区,原料储存区的监测点5,48.95,77.8,"temperature,pressure,flow_rate,level,gas_concentration"
RMS006,RMS,原料储存区,原料储存区的监测点6,1.96,23.1,"temperature,pressure,flow_rate,level,gas_concentration"
RMS007,RMS,原料储存区,原料储存区的监测点7,81.9,62.64,"temperature,pressure,flow_rate,level,gas_concentration"
RMS008,RMS,原料储存区,原料储存区的监测点8,35.0,69.04,"temperature,pressure,flow_rate,level,gas_concentration"
RMS009,RMS,原料储存区,原料储存区的监测点9,87.01,24.25,"temperature,pressure,flow_rate,level,gas_concentration"
RMS010,RMS,原料储存区,原料储存区的监测点10,27.91,58.44,"temperature,pressure,flow_rate,level,gas_concentration"
RMS011,RMS,原料储存区,原料储存区的监测点11,25.77,0.04,"temperature,pressure,flow_rate,level,gas_concentration"
RMS012,RMS,原料储存区,原料储存区的监测点12,37.21,28.97,"temperature,pressure,flow_rate,level,gas_concentration"
RMS013,RMS,原料储存区,原料储存区的监测点13,97.69,8.26,"temperature,pressure,flow_rate,level,gas_concentration"
RMS014,RMS,原料储存区,原料储存区的监测点14,62.01,35.92,"temperature,pressure,flow_rate,level,gas_concentration"
RMS015,RMS,原料储存区,原料储存区的监测点15,82.37,75.21,"temperature,pressure,flow_rate,level,gas_concentration"
RMS016,RMS,原料储存区,原料储存区的监测点16,78.02,2.89,"temperature,pressure,flow_rate,level,gas_concentration"
RMS017,RMS,原料储存区,原料储存区的监测点17,8.38,76.7,"temperature,pressure,flow_rate,level,gas_concentration"
RMS018,RMS,原料储存区,原料储存区的监测点18,67.74,97.69,"temperature,pressure,flow_rate,level,gas_concentration"
RMS019,RMS,原料储存区,原料储存区的监测点19,29.9,95.55,"temperature,pressure,flow_rate,level,gas_concentration"
RMS020,RMS,原料储存区,原料储存区的监测点20,34.13,79.61,"temperature,pressure,flow_rate,level,gas_concentration"
REA001,REA,反应器区,反应器区的监测点1,10.67,79.85,"temperature,pressure,flow_rate,level,gas_concentration"
REA002,REA,反应器区,反应器区的监测点2,81.57,13.92,"temperature,pressure,flow_rate,level,gas_concentration"
REA003,REA,反应器区,反应器区的监测点3,40.49,86.2,"temperature,pressure,flow_rate,level,gas_concentration"
REA004,REA,反应器区,反应器区的监测点4,9.12,78.19,"temperature,pressure,flow_rate,level,gas_concentration"
REA005,REA,反应器区,反应器区的监测点5,24.98,1.73,"temperature,pressure,flow_rate,level,gas_concentration"
REA006,REA,反应器区,反应器区的监测点6,59.1,1.29,"temperature,pressure,flow_rate,level,gas_concentration"
